club_from,club_to,transfers
VfL Wolfsburg,Bayern Munich,6
SC Freiburg,FC Schalke 04,4
Bayer 04 Leverkusen,Hannover 96,6
Borussia Dortmund,Karlsruher SC,2
Hannover 96,Hertha BSC,4
Hertha BSC,Hamburger SV,12
MSV Duisburg,VfL Bochum,2
VfL Bochum,Hannover 96,2
VfL Bochum,FC Augsburg,5
1. FC Köln,Eintracht Frankfurt,4
Eintracht Frankfurt,VfL Wolfsburg,4
VfL Wolfsburg,Borussia Mönchengladbach,4
Borussia Mönchengladbach,Hamburger SV,6
Karlsruher SC,FC Hansa Rostock,1
FC Hansa Rostock,MSV Duisburg,1
1.FSV Mainz 05,1. FC Köln,12
MSV Duisburg,1. FC Köln,2
Hannover 96,MSV Duisburg,8
SV Werder Bremen,1.FSV Mainz 05,5
VfL Wolfsburg,1. FC Köln,15
FC St. Pauli,Eintracht Frankfurt,4
1. FC Köln,1.FSV Mainz 05,6
Hannover 96,1.FC Nuremberg,3
VfL Bochum,SV Werder Bremen,3
VfL Bochum,Bayern Munich,2
VfL Bochum,Borussia Dortmund,2
Borussia Dortmund,1.FSV Mainz 05,6
FC Schalke 04,1.FC Nuremberg,3
Hertha BSC,FC Hansa Rostock,2
FC Schalke 04,Borussia Mönchengladbach,7
1.FC Nuremberg,Hannover 96,4
Hannover 96,Karlsruher SC,3
FC Schalke 04,1.FC Kaiserslautern,2
Karlsruher SC,1.FC Kaiserslautern,1
1.FC Kaiserslautern,VfL Bochum,3
VfL Bochum,Arminia Bielefeld,1
Hannover 96,Arminia Bielefeld,2
Arminia Bielefeld,1. FC Köln,1
Bayer 04 Leverkusen,1.FSV Mainz 05,7
FC Hansa Rostock,Karlsruher SC,1
Borussia Mönchengladbach,Karlsruher SC,1
Bayern Munich,Hannover 96,7
FC Schalke 04,VfL Wolfsburg,7
Hertha BSC,Eintracht Frankfurt,3
Borussia Mönchengladbach,VfL Bochum,2
Karlsruher SC,1.FC Nuremberg,1
Arminia Bielefeld,VfL Wolfsburg,3
Arminia Bielefeld,1.FC Nuremberg,3
1. FC Köln,Karlsruher SC,2
Karlsruher SC,Hertha BSC,1
Hertha BSC,Borussia Mönchengladbach,5
Borussia Mönchengladbach,Hertha BSC,3
Karlsruher SC,Arminia Bielefeld,1
Hertha BSC,Arminia Bielefeld,3
SV Werder Bremen,VfL Bochum,1
VfB Stuttgart,Hamburger SV,10
Hertha BSC,VfL Wolfsburg,11
1.FC Nuremberg,VfL Bochum,2
1.FC Nuremberg,FC Augsburg,8
1.FSV Mainz 05,VfB Stuttgart,4
Borussia Mönchengladbach,1. FC Köln,1
VfL Bochum,1.FSV Mainz 05,7
FC St. Pauli,1.FSV Mainz 05,4
1.FSV Mainz 05,VfL Bochum,6
Hannover 96,VfL Bochum,6
MSV Duisburg,Arminia Bielefeld,2
Arminia Bielefeld,Karlsruher SC,1
Eintracht Frankfurt,1.FSV Mainz 05,6
Alemannia Aachen,FC St. Pauli,1
Hamburger SV,FC Energie Cottbus,1
Hertha BSC,FC Energie Cottbus,2
1. FC Köln,FC Energie Cottbus,1
FC Energie Cottbus,MSV Duisburg,1
FC Energie Cottbus,Hamburger SV,1
Hamburger SV,VfB Stuttgart,5
1.FSV Mainz 05,FC Augsburg,5
1.FSV Mainz 05,Bayer 04 Leverkusen,7
VfL Bochum,1.FC Nuremberg,3
1.FC Nuremberg,SC Freiburg,8
VfL Bochum,FC St. Pauli,1
1.FSV Mainz 05,Hamburger SV,3
Eintracht Frankfurt,FC Schalke 04,10
VfL Wolfsburg,Arminia Bielefeld,4
Arminia Bielefeld,FC Schalke 04,1
FC Energie Cottbus,VfL Wolfsburg,2
FC Energie Cottbus,1.FSV Mainz 05,1
VfL Wolfsburg,FC Augsburg,19
VfL Wolfsburg,1.FSV Mainz 05,9
VfL Bochum,FC Hansa Rostock,1
VfB Stuttgart,SC Freiburg,5
FC Energie Cottbus,FC Augsburg,1
MSV Duisburg,SC Freiburg,3
1.FSV Mainz 05,Borussia Dortmund,5
Hamburger SV,Borussia Dortmund,1
Karlsruher SC,Hannover 96,5
1.FSV Mainz 05,VfL Wolfsburg,7
VfB Stuttgart,TSG 1899 Hoffenheim,6
FC Augsburg,FC Energie Cottbus,1
Eintracht Frankfurt,MSV Duisburg,4
1. FC Köln,1.FC Nuremberg,6
Borussia Dortmund,FC Augsburg,3
Bayer 04 Leverkusen,FC Augsburg,9
TSG 1899 Hoffenheim,1.FSV Mainz 05,2
Hamburger SV,MSV Duisburg,2
Arminia Bielefeld,MSV Duisburg,1
VfL Wolfsburg,SC Freiburg,6
Hertha BSC,FC Augsburg,12
Karlsruher SC,VfB Stuttgart,1
MSV Duisburg,Hamburger SV,2
Hamburger SV,1.FC Nuremberg,6
Hertha BSC,TSG 1899 Hoffenheim,1
Karlsruher SC,TSG 1899 Hoffenheim,3
TSG 1899 Hoffenheim,Hertha BSC,2
SV Werder Bremen,FC Augsburg,2
1.FSV Mainz 05,Borussia Mönchengladbach,1
Borussia Mönchengladbach,FC Augsburg,4
1.FSV Mainz 05,Karlsruher SC,3
VfB Stuttgart,1.FSV Mainz 05,6
MSV Duisburg,SV Werder Bremen,2
FC Augsburg,SV Werder Bremen,1
1.FSV Mainz 05,MSV Duisburg,2
Hertha BSC,Borussia Dortmund,5
FC Schalke 04,FC Augsburg,13
FC Augsburg,Bayer 04 Leverkusen,6
Bayer 04 Leverkusen,SC Freiburg,2
VfL Wolfsburg,RB Leipzig,3
MSV Duisburg,TSG 1899 Hoffenheim,1
TSG 1899 Hoffenheim,1.FC Nuremberg,2
Hertha BSC,SC Freiburg,1
Hamburger SV,FC Augsburg,6
1. FC Köln,FC St. Pauli,2
Hertha BSC,1.FC Kaiserslautern,1
1.FSV Mainz 05,1.FC Kaiserslautern,1
Hannover 96,Borussia Mönchengladbach,2
Bayern Munich,TSG 1899 Hoffenheim,5
TSG 1899 Hoffenheim,Bayern Munich,9
TSG 1899 Hoffenheim,1. FC Köln,3
TSG 1899 Hoffenheim,Karlsruher SC,3
