club_from,club_to,transfers
FC St. Pauli,Eintracht Frankfurt,2
VfB Stuttgart,Eintracht Frankfurt,1
1.FSV Mainz 05,Eintracht Frankfurt,2
Eintracht Frankfurt,RB Leipzig,1
Hamburger SV,1.FC Union Berlin,1
1.FC Union Berlin,FC Schalke 04,2
1.FC Union Berlin,1.FSV Mainz 05,2
1.FC Union Berlin,1.FC Nuremberg,1
Borussia Mönchengladbach,RB Leipzig,1
1.FSV Mainz 05,VfB Stuttgart,2
TSG 1899 Hoffenheim,Hertha BSC,1
FC Schalke 04,Hertha BSC,1
1.FC Nuremberg,Arminia Bielefeld,1
FC Schalke 04,Arminia Bielefeld,1
1.FSV Mainz 05,Arminia Bielefeld,1
Arminia Bielefeld,FC St. Pauli,1
Arminia Bielefeld,1.FSV Mainz 05,2
Arminia Bielefeld,Hertha BSC,1
Arminia Bielefeld,FC Augsburg,1
Hamburger SV,SpVgg Greuther Fürth,2
Hertha BSC,SpVgg Greuther Fürth,1
Bayern Munich,SpVgg Greuther Fürth,1
SpVgg Greuther Fürth,1.FSV Mainz 05,1
SpVgg Greuther Fürth,Hannover 96,1
Bayern Munich,1. FC Köln,2
SpVgg Greuther Fürth,Bayern Munich,1
1. FC Köln,Bayern Munich,2
Bayern Munich,Hannover 96,1
Bayer 04 Leverkusen,1.FC Nuremberg,2
VfL Wolfsburg,RB Leipzig,2
1.FC Nuremberg,RB Leipzig,2
RB Leipzig,FC Schalke 04,2
VfL Bochum,1.FC Union Berlin,1
1.FC Union Berlin,VfL Bochum,1
1. FC Köln,VfL Bochum,2
RB Leipzig,TSG 1899 Hoffenheim,1
TSG 1899 Hoffenheim,RB Leipzig,1
VfB Stuttgart,VfL Bochum,2
Karlsruher SC,VfL Bochum,1
Hamburger SV,VfL Bochum,1
Hamburger SV,VfB Stuttgart,1
Karlsruher SC,SV Werder Bremen,1
1.FC Union Berlin,VfB Stuttgart,1
VfL Bochum,1.FC Nuremberg,1
FC Schalke 04,1.FC Nuremberg,1
